"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","device_id","view_history","stimulus","response"
"true","false","[]","[]","[]","preload","0","248","0.0-0.0","{"""":""""}","","","","",""
"true","","","","","fullscreen","1","2372","0.0-1.0","{"""":""""}","1122","","","",""
"","","","","","initialize-microphone","2","4102","0.0-2.0","{"""":""""}","","865cfdf1d7b7f3e3b8fc7c474a69f8ffd82e67fb5ba3adf7e69bc55de6016f9d","","",""
"","","","","","instructions","3","5875","0.0-3.0","{"""":""""}","1772","","[{""page_index"":0,""viewing_time"":837},{""page_index"":1,""viewing_time"":935}]","",""
"","","","","","image-button-response","4","10386","0.0-4.0-0.0","{"""":""""}","null","","","images/instructions/movie_1.png","null"
"","","","","","image-button-response","5","11613","0.0-4.0-1.0","{"""":""""}","1225","","","images/instructions/movie_1.png","1"
"","","","","","image-button-response","6","13426","0.0-4.0-2.0","{"""":""""}","null","","","[]","null"
"","","","","","image-button-response","7","17938","0.0-4.0-0.1","{"""":""""}","null","","","images/instructions/movie_2.png","null"
"","","","","","image-button-response","8","18892","0.0-4.0-1.1","{"""":""""}","953","","","images/instructions/movie_2.png","1"
"","","","","","image-button-response","9","20707","0.0-4.0-2.1","{"""":""""}","null","","","[]","null"
"","","","","","image-button-response","10","25212","0.0-4.0-0.2","{"""":""""}","null","","","images/instructions/movie_3.png","null"
"","","","","","image-button-response","11","26051","0.0-4.0-1.2","{"""":""""}","838","","","images/instructions/movie_3.png","1"
"","","","","","image-button-response","12","27861","0.0-4.0-2.2","{"""":""""}","null","","","[]","null"
"","","","","","image-button-response","13","32364","0.0-4.0-0.3","{"""":""""}","null","","","images/instructions/movie_4.png","null"
"","","","","","image-button-response","14","33156","0.0-4.0-1.3","{"""":""""}","790","","","images/instructions/movie_4.png","1"
"","","","","","image-button-response","15","34957","0.0-4.0-2.3","{"""":""""}","null","","","[]","null"
"","","","","","survey-text","16","39720","0.0-5.0","{"""":""""}","4758","","","","{""Q0"":""00"",""Q1"":""00""}"
"","","","","","instructions","17","40947","0.0-6.0","{"""":""""}","1226","","[{""page_index"":0,""viewing_time"":1226}]","",""
"","","","","","survey-text","18","43196","0.0-7.0","{"""":""""}","2247","","","","{""Q0"":""""}"
