"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","urlvar","subject","rt","device_id","view_history","stimulus","response"
"true","false","[]","[]","[]","preload","0","1180","0.0-0.0","","","","{"""":""""}","","","","","",""
"true","","","","","fullscreen","1","6362","0.0-1.0","","","","{"""":""""}","","4166","","","",""
"","","","","","initialize-microphone","2","30074","0.0-2.0","","","","{"""":""""}","","","088c83a8a85dbf5b18ab1ea8735327c8cfc20fa30d9ca3fc8896f017e8b3ef0b","","",""
"","","","","","instructions","3","38253","0.0-3.0","","","","{"""":""""}","","8178","","[{""page_index"":0,""viewing_time"":1618},{""page_index"":1,""viewing_time"":6559}]","",""
"","","","","","image-button-response","4","42768","0.0-4.0-0.0","","","","{"""":""""}","","null","","","images/instructions/movie_1.png","null"
"","","","","","image-button-response","5","45473","0.0-4.0-1.0","","","","{"""":""""}","","null","","","images/instructions/movie_1.png","null"
"","","","","","image-button-response","6","47282","0.0-4.0-2.0","","","","{"""":""""}","","null","","","[]","null"
"","","","","","image-button-response","7","51784","0.0-4.0-0.1","","","","{"""":""""}","","null","","","images/instructions/movie_2.png","null"
"","","","","","image-button-response","8","52646","0.0-4.0-1.1","","","","{"""":""""}","","859","","","images/instructions/movie_2.png","0"
"","","","","","image-button-response","9","54461","0.0-4.0-2.1","","","","{"""":""""}","","null","","","[]","null"
"","","","","","image-button-response","10","58977","0.0-4.0-0.2","","","","{"""":""""}","","null","","","images/instructions/movie_3.png","null"
"","","","","","image-button-response","11","59979","0.0-4.0-1.2","","","","{"""":""""}","","1000","","","images/instructions/movie_3.png","0"
"","","","","","image-button-response","12","61782","0.0-4.0-2.2","","","","{"""":""""}","","null","","","[]","null"
"","","","","","image-button-response","13","66291","0.0-4.0-0.3","","","","{"""":""""}","","null","","","images/instructions/movie_4.png","null"
"","","","","","image-button-response","14","67146","0.0-4.0-1.3","","","","{"""":""""}","","853","","","images/instructions/movie_4.png","0"
"","","","","","image-button-response","15","68953","0.0-4.0-2.3","","","","{"""":""""}","","null","","","[]","null"
"","","","","","survey-text","16","78443","0.0-5.0","","","","{"""":""""}","","9466","","","","{""Q0"":""FEMALE"",""Q1"":""30""}"
"","","","","","instructions","17","85226","0.0-6.0","","","","{"""":""""}","","6783","","[{""page_index"":0,""viewing_time"":6783}]","",""
"","","","","","survey-text","18","90508","0.0-7.0","","","","{"""":""""}","","5278","","","","{""Q0"":""AJFHBG892""}"
