"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","urlvar","subject","rt","device_id","view_history","stimulus","response"
"true","false","[]","[]","[]","preload","0","133","0.0-0.0","","","","{"""":""""}","","","","","",""
"true","","","","","fullscreen","1","4534","0.0-1.0","","","","{"""":""""}","","3398","","","",""
"","","","","","initialize-microphone","2","12056","0.0-2.0","","","","{"""":""""}","","","a01f00908db115f131dfdb083a9b5963be3cdf6517d90ec43e94009d26f920d9","","",""
"","","","","","instructions","3","20300","0.0-3.0","","","","{"""":""""}","","8244","","[{""page_index"":0,""viewing_time"":1610},{""page_index"":1,""viewing_time"":6633}]","",""
"","","","","","image-button-response","4","24805","0.0-4.0-0.0","","","","{"""":""""}","","null","","","images/instructions/movie_1.png","null"
"","","","","","image-button-response","5","27508","0.0-4.0-1.0","","","","{"""":""""}","","null","","","images/instructions/movie_1.png","null"
"","","","","","image-button-response","6","29315","0.0-4.0-2.0","","","","{"""":""""}","","null","","","[]","null"
"","","","","","image-button-response","7","33823","0.0-4.0-0.1","","","","{"""":""""}","","null","","","images/instructions/movie_2.png","null"
"","","","","","image-button-response","8","35184","0.0-4.0-1.1","","","","{"""":""""}","","1359","","","images/instructions/movie_2.png","0"
"","","","","","image-button-response","9","36987","0.0-4.0-2.1","","","","{"""":""""}","","null","","","[]","null"
"","","","","","image-button-response","10","41494","0.0-4.0-0.2","","","","{"""":""""}","","null","","","images/instructions/movie_3.png","null"
"","","","","","image-button-response","11","42348","0.0-4.0-1.2","","","","{"""":""""}","","853","","","images/instructions/movie_3.png","0"
"","","","","","image-button-response","12","44151","0.0-4.0-2.2","","","","{"""":""""}","","null","","","[]","null"
"","","","","","image-button-response","13","48655","0.0-4.0-0.3","","","","{"""":""""}","","null","","","images/instructions/movie_4.png","null"
"","","","","","image-button-response","14","49483","0.0-4.0-1.3","","","","{"""":""""}","","827","","","images/instructions/movie_4.png","0"
"","","","","","image-button-response","15","51290","0.0-4.0-2.3","","","","{"""":""""}","","null","","","[]","null"
"","","","","","survey-text","16","57153","0.0-5.0","","","","{"""":""""}","","5856","","","","{""Q0"":""Female"",""Q1"":""25""}"
"","","","","","instructions","17","69500","0.0-6.0","","","","{"""":""""}","","12347","","[{""page_index"":0,""viewing_time"":12346}]","",""
"","","","","","survey-text","18","75002","0.0-7.0","","","","{"""":""""}","","5499","","","","{""Q0"":""AJFHBG892""}"
