"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","subject","rt","device_id","view_history","stimulus","response"
"true","false","[]","[]","[]","preload","0","44","0.0-0.0","","","","","","","","",""
"true","","","","","fullscreen","1","1923","0.0-1.0","","","","","875","","","",""
"","","","","","initialize-microphone","2","3024","0.0-2.0","","","","","","ee0e52bdb5885de6c02fe20548f63739ea7703a6a12c53ccf90b5f25791fa5ab","","",""
"","","","","","instructions","3","4353","0.0-3.0","","","","","1328","","[{""page_index"":0,""viewing_time"":703},{""page_index"":1,""viewing_time"":624}]","",""
"","","","","","image-button-response","4","8861","0.0-4.0-0.0","","","","","null","","","images/instructions/movie_1.png","null"
"","","","","","image-button-response","5","9748","0.0-4.0-1.0","","","","","886","","","images/instructions/movie_1.png","1"
"","","","","","image-button-response","6","11555","0.0-4.0-2.0","","","","","null","","","[]","null"
"","","","","","image-button-response","7","16064","0.0-4.0-0.1","","","","","null","","","images/instructions/movie_2.png","null"
"","","","","","image-button-response","8","16881","0.0-4.0-1.1","","","","","815","","","images/instructions/movie_2.png","1"
"","","","","","image-button-response","9","18686","0.0-4.0-2.1","","","","","null","","","[]","null"
"","","","","","image-button-response","10","23196","0.0-4.0-0.2","","","","","null","","","images/instructions/movie_3.png","null"
"","","","","","image-button-response","11","23960","0.0-4.0-1.2","","","","","762","","","images/instructions/movie_3.png","1"
"","","","","","image-button-response","12","25766","0.0-4.0-2.2","","","","","null","","","[]","null"
"","","","","","image-button-response","13","30267","0.0-4.0-0.3","","","","","null","","","images/instructions/movie_4.png","null"
"","","","","","image-button-response","14","31064","0.0-4.0-1.3","","","","","795","","","images/instructions/movie_4.png","1"
"","","","","","image-button-response","15","32867","0.0-4.0-2.3","","","","","null","","","[]","null"
"","","","","","survey-text","16","33586","0.0-5.0","","","","","713","","","","{""Q0"":"""",""Q1"":""""}"
"","","","","","instructions","17","34472","0.0-6.0","","","","","886","","[{""page_index"":0,""viewing_time"":885}]","",""
"","","","","","survey-text","18","35576","0.0-7.0","","","","","1100","","","","{""Q0"":""""}"
