"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","device_id","view_history","stimulus","response"
"true","false","[]","[]","[]","preload","0","6","0.0-0.0","{"""":""""}","","","","",""
"true","","","","","fullscreen","1","42165","0.0-1.0","{"""":""""}","41156","","","",""
"","","","","","initialize-microphone","2","44153","0.0-2.0","{"""":""""}","","ee0e52bdb5885de6c02fe20548f63739ea7703a6a12c53ccf90b5f25791fa5ab","","",""
"","","","","","instructions","3","46787","0.0-3.0","{"""":""""}","2634","","[{""page_index"":0,""viewing_time"":801},{""page_index"":1,""viewing_time"":1832}]","",""
"","","","","","image-button-response","4","51294","0.0-4.0-0.0","{"""":""""}","null","","","images/instructions/movie_1.png","null"
"","","","","","image-button-response","5","54007","0.0-4.0-1.0","{"""":""""}","null","","","images/instructions/movie_1.png","null"
"","","","","","image-button-response","6","55810","0.0-4.0-2.0","{"""":""""}","null","","","[]","null"
"","","","","","image-button-response","7","60325","0.0-4.0-0.1","{"""":""""}","null","","","images/instructions/movie_2.png","null"
"","","","","","image-button-response","8","63030","0.0-4.0-1.1","{"""":""""}","null","","","images/instructions/movie_2.png","null"
"","","","","","image-button-response","9","64841","0.0-4.0-2.1","{"""":""""}","null","","","[]","null"
"","","","","","image-button-response","10","69357","0.0-4.0-0.2","{"""":""""}","null","","","images/instructions/movie_3.png","null"
"","","","","","image-button-response","11","72067","0.0-4.0-1.2","{"""":""""}","null","","","images/instructions/movie_3.png","null"
"","","","","","image-button-response","12","73875","0.0-4.0-2.2","{"""":""""}","null","","","[]","null"
"","","","","","image-button-response","13","78384","0.0-4.0-0.3","{"""":""""}","null","","","images/instructions/movie_4.png","null"
"","","","","","image-button-response","14","81096","0.0-4.0-1.3","{"""":""""}","null","","","images/instructions/movie_4.png","null"
"","","","","","image-button-response","15","82905","0.0-4.0-2.3","{"""":""""}","null","","","[]","null"
"","","","","","survey-text","16","84244","0.0-5.0","{"""":""""}","1334","","","","{""Q0"":"""",""Q1"":""""}"
"","","","","","instructions","17","85787","0.0-6.0","{"""":""""}","1542","","[{""page_index"":0,""viewing_time"":1542}]","",""
"","","","","","survey-text","18","87611","0.0-7.0","{"""":""""}","1822","","","","{""Q0"":""""}"
