"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","subject","rt","device_id","view_history","stimulus","response"
"true","false","[]","[]","[]","preload","0","973","0.0-0.0","","","","","","","","",""
"true","","","","","fullscreen","1","3337","0.0-1.0","","","","","1360","","","",""
"","","","","","initialize-microphone","2","8020","0.0-2.0","","","","","","0b11a927083d438999f4f46acd73640a84aeaa533e374e9a7fbc3423b4fa4a9d","","",""
"","","","","","instructions","3","13103","0.0-3.0","","","","","5082","","[{""page_index"":0,""viewing_time"":1087},{""page_index"":1,""viewing_time"":3994}]","",""
"","","","","","image-button-response","4","17612","0.0-4.0-0.0","","","","","null","","","images/instructions/movie_1.png","null"
"","","","","","image-button-response","5","19823","0.0-4.0-1.0","","","","","2209","","","images/instructions/movie_1.png","1"
"","","","","","image-button-response","6","21627","0.0-4.0-2.0","","","","","null","","","[]","null"
"","","","","","image-button-response","7","26129","0.0-4.0-0.1","","","","","null","","","images/instructions/movie_2.png","null"
"","","","","","image-button-response","8","27507","0.0-4.0-1.1","","","","","1376","","","images/instructions/movie_2.png","0"
"","","","","","image-button-response","9","29313","0.0-4.0-2.1","","","","","null","","","[]","null"
"","","","","","image-button-response","10","33815","0.0-4.0-0.2","","","","","null","","","images/instructions/movie_3.png","null"
"","","","","","image-button-response","11","34738","0.0-4.0-1.2","","","","","922","","","images/instructions/movie_3.png","0"
"","","","","","image-button-response","12","36539","0.0-4.0-2.2","","","","","null","","","[]","null"
"","","","","","image-button-response","13","41042","0.0-4.0-0.3","","","","","null","","","images/instructions/movie_4.png","null"
"","","","","","image-button-response","14","42129","0.0-4.0-1.3","","","","","1085","","","images/instructions/movie_4.png","0"
"","","","","","image-button-response","15","43933","0.0-4.0-2.3","","","","","null","","","[]","null"
"","","","","","survey-text","16","48419","0.0-5.0","","","","","4483","","","","{""Q0"":""FEMALE"",""Q1"":""26""}"
"","","","","","instructions","17","51720","0.0-6.0","","","","","3300","","[{""page_index"":0,""viewing_time"":3300}]","",""
"","","","","","survey-text","18","53669","0.0-7.0","","","","","1946","","","","{""Q0"":""AJFHBG892""}"
