"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","subject","rt","device_id","view_history","stimulus","response"
"true","false","[]","[]","[]","preload","0","743","0.0-0.0","","","","","","","","",""
"true","","","","","fullscreen","1","3271","0.0-1.0","","","","","1524","","","",""
"","","","","","initialize-microphone","2","15654","0.0-2.0","","","","","","z9QuZTeBNKtPYxbzbeJt/hcOp4fd1chJlObACke6jJU=","","",""
"","","","","","instructions","3","21894","0.0-3.0","","","","","6237","","[{""page_index"":0,""viewing_time"":1541},{""page_index"":1,""viewing_time"":4696}]","",""
"","","","","","image-button-response","4","26397","0.0-4.0-0.0","","","","","null","","","images/instructions/movie_1.png","null"
"","","","","","image-button-response","5","29102","0.0-4.0-1.0","","","","","null","","","images/instructions/movie_1.png","null"
"","","","","","image-button-response","6","30904","0.0-4.0-2.0","","","","","null","","","[]","null"
"","","","","","image-button-response","7","35405","0.0-4.0-0.1","","","","","null","","","images/instructions/movie_2.png","null"
"","","","","","image-button-response","8","36802","0.0-4.0-1.1","","","","","1394","","","images/instructions/movie_2.png","0"
"","","","","","image-button-response","9","38606","0.0-4.0-2.1","","","","","null","","","[]","null"
"","","","","","image-button-response","10","43112","0.0-4.0-0.2","","","","","null","","","images/instructions/movie_3.png","null"
"","","","","","image-button-response","11","43999","0.0-4.0-1.2","","","","","884","","","images/instructions/movie_3.png","0"
"","","","","","image-button-response","12","45811","0.0-4.0-2.2","","","","","null","","","[]","null"
"","","","","","image-button-response","13","50321","0.0-4.0-0.3","","","","","null","","","images/instructions/movie_4.png","null"
"","","","","","image-button-response","14","51088","0.0-4.0-1.3","","","","","762","","","images/instructions/movie_4.png","0"
"","","","","","image-button-response","15","52891","0.0-4.0-2.3","","","","","null","","","[]","null"
"","","","","","survey-text","16","57097","0.0-5.0","","","","","4184","","","","{""Q0"":""Male"",""Q1"":""33""}"
"","","","","","instructions","17","63174","0.0-6.0","","","","","6075","","[{""page_index"":0,""viewing_time"":6075}]","",""
"","","","","","survey-text","18","65954","0.0-7.0","","","","","2770","","","","{""Q0"":""AJFHBG892""}"
