"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","device_id","view_history","stimulus","response"
"true","false","[]","[]","[]","preload","0","12","0.0-0.0","dotdw6dlzeed04l","","","","",""
"true","","","","","fullscreen","1","2379","0.0-1.0","dotdw6dlzeed04l","1365","","","",""
"","","","","","initialize-microphone","2","3526","0.0-2.0","dotdw6dlzeed04l","","ee0e52bdb5885de6c02fe20548f63739ea7703a6a12c53ccf90b5f25791fa5ab","","",""
"","","","","","instructions","3","4731","0.0-3.0","dotdw6dlzeed04l","1204","","[{""page_index"":0,""viewing_time"":571},{""page_index"":1,""viewing_time"":632}]","",""
"","","","","","image-button-response","4","9239","0.0-4.0-0.0","dotdw6dlzeed04l","null","","","images/instructions/movie_1.png","null"
"","","","","","image-button-response","5","11950","0.0-4.0-1.0","dotdw6dlzeed04l","null","","","images/instructions/movie_1.png","null"
"","","","","","image-button-response","6","13760","0.0-4.0-2.0","dotdw6dlzeed04l","null","","","[]","null"
"","","","","","image-button-response","7","18276","0.0-4.0-0.1","dotdw6dlzeed04l","null","","","images/instructions/movie_2.png","null"
"","","","","","image-button-response","8","19898","0.0-4.0-1.1","dotdw6dlzeed04l","1619","","","images/instructions/movie_2.png","1"
"","","","","","image-button-response","9","21714","0.0-4.0-2.1","dotdw6dlzeed04l","null","","","[]","null"
"","","","","","image-button-response","10","26218","0.0-4.0-0.2","dotdw6dlzeed04l","null","","","images/instructions/movie_3.png","null"
"","","","","","image-button-response","11","26986","0.0-4.0-1.2","dotdw6dlzeed04l","766","","","images/instructions/movie_3.png","1"
"","","","","","image-button-response","12","28792","0.0-4.0-2.2","dotdw6dlzeed04l","null","","","[]","null"
"","","","","","image-button-response","13","33300","0.0-4.0-0.3","dotdw6dlzeed04l","null","","","images/instructions/movie_4.png","null"
"","","","","","image-button-response","14","34249","0.0-4.0-1.3","dotdw6dlzeed04l","947","","","images/instructions/movie_4.png","1"
"","","","","","image-button-response","15","36057","0.0-4.0-2.3","dotdw6dlzeed04l","null","","","[]","null"
"","","","","","survey-text","16","37330","0.0-5.0","dotdw6dlzeed04l","1268","","","","{""Q0"":"""",""Q1"":""""}"
"","","","","","instructions","17","38505","0.0-6.0","dotdw6dlzeed04l","1175","","[{""page_index"":0,""viewing_time"":1175}]","",""
"","","","","","survey-text","18","39442","0.0-7.0","dotdw6dlzeed04l","934","","","","{""Q0"":""""}"
