success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,urlvar,current_url,subject,rt,device_id,view_history,stimulus,response
TRUE,FALSE,[],[],[],preload,0,19,0.0-0.0,85C92CDBAC71452684E2566DAB6C7342,2b17e7ff-666b-428f-af21-b219531a0d14,50bd8f13-fc2d-4b1f-88c7-782f9100426c,"{""participantId"":""85C92CDBAC71452684E2566DAB6C7342"",""assignmentId"":""2b17e7ff-666b-428f-af21-b219531a0d14"",""projectId"":""50bd8f13-fc2d-4b1f-88c7-782f9100426c""}",https://test12345.live/try_test.html?participantId=85C92CDBAC71452684E2566DAB6C7342&assignmentId=2b17e7ff-666b-428f-af21-b219531a0d14&projectId=50bd8f13-fc2d-4b1f-88c7-782f9100426c,85C92CDBAC71452684E2566DAB6C7342,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,fullscreen,1,4192,0.0-1.0,85C92CDBAC71452684E2566DAB6C7342,2b17e7ff-666b-428f-af21-b219531a0d14,50bd8f13-fc2d-4b1f-88c7-782f9100426c,"{""participantId"":""85C92CDBAC71452684E2566DAB6C7342"",""assignmentId"":""2b17e7ff-666b-428f-af21-b219531a0d14"",""projectId"":""50bd8f13-fc2d-4b1f-88c7-782f9100426c""}",https://test12345.live/try_test.html?participantId=85C92CDBAC71452684E2566DAB6C7342&assignmentId=2b17e7ff-666b-428f-af21-b219531a0d14&projectId=50bd8f13-fc2d-4b1f-88c7-782f9100426c,85C92CDBAC71452684E2566DAB6C7342,3160,NA,NA,NA,NA
NA,NA,NA,NA,NA,initialize-microphone,2,10482,0.0-2.0,85C92CDBAC71452684E2566DAB6C7342,2b17e7ff-666b-428f-af21-b219531a0d14,50bd8f13-fc2d-4b1f-88c7-782f9100426c,"{""participantId"":""85C92CDBAC71452684E2566DAB6C7342"",""assignmentId"":""2b17e7ff-666b-428f-af21-b219531a0d14"",""projectId"":""50bd8f13-fc2d-4b1f-88c7-782f9100426c""}",https://test12345.live/try_test.html?participantId=85C92CDBAC71452684E2566DAB6C7342&assignmentId=2b17e7ff-666b-428f-af21-b219531a0d14&projectId=50bd8f13-fc2d-4b1f-88c7-782f9100426c,85C92CDBAC71452684E2566DAB6C7342,NA,f62e1643d28283a2fceb5a9106d9d371bb913f3d56f62b806dc18d216c7fa933,NA,NA,NA
NA,NA,NA,NA,NA,instructions,3,28460,0.0-3.0,85C92CDBAC71452684E2566DAB6C7342,2b17e7ff-666b-428f-af21-b219531a0d14,50bd8f13-fc2d-4b1f-88c7-782f9100426c,"{""participantId"":""85C92CDBAC71452684E2566DAB6C7342"",""assignmentId"":""2b17e7ff-666b-428f-af21-b219531a0d14"",""projectId"":""50bd8f13-fc2d-4b1f-88c7-782f9100426c""}",https://test12345.live/try_test.html?participantId=85C92CDBAC71452684E2566DAB6C7342&assignmentId=2b17e7ff-666b-428f-af21-b219531a0d14&projectId=50bd8f13-fc2d-4b1f-88c7-782f9100426c,85C92CDBAC71452684E2566DAB6C7342,17976,NA,"[{""page_index"":0,""viewing_time"":3446},{""page_index"":1,""viewing_time"":14530}]",NA,NA
NA,NA,NA,NA,NA,image-button-response,4,32966,0.0-4.0-0.0,85C92CDBAC71452684E2566DAB6C7342,2b17e7ff-666b-428f-af21-b219531a0d14,50bd8f13-fc2d-4b1f-88c7-782f9100426c,"{""participantId"":""85C92CDBAC71452684E2566DAB6C7342"",""assignmentId"":""2b17e7ff-666b-428f-af21-b219531a0d14"",""projectId"":""50bd8f13-fc2d-4b1f-88c7-782f9100426c""}",https://test12345.live/try_test.html?participantId=85C92CDBAC71452684E2566DAB6C7342&assignmentId=2b17e7ff-666b-428f-af21-b219531a0d14&projectId=50bd8f13-fc2d-4b1f-88c7-782f9100426c,85C92CDBAC71452684E2566DAB6C7342,null,NA,NA,images/instructions/movie_1.png,null
NA,NA,NA,NA,NA,image-button-response,5,35669,0.0-4.0-1.0,85C92CDBAC71452684E2566DAB6C7342,2b17e7ff-666b-428f-af21-b219531a0d14,50bd8f13-fc2d-4b1f-88c7-782f9100426c,"{""participantId"":""85C92CDBAC71452684E2566DAB6C7342"",""assignmentId"":""2b17e7ff-666b-428f-af21-b219531a0d14"",""projectId"":""50bd8f13-fc2d-4b1f-88c7-782f9100426c""}",https://test12345.live/try_test.html?participantId=85C92CDBAC71452684E2566DAB6C7342&assignmentId=2b17e7ff-666b-428f-af21-b219531a0d14&projectId=50bd8f13-fc2d-4b1f-88c7-782f9100426c,85C92CDBAC71452684E2566DAB6C7342,null,NA,NA,images/instructions/movie_1.png,null
NA,NA,NA,NA,NA,image-button-response,6,37472,0.0-4.0-2.0,85C92CDBAC71452684E2566DAB6C7342,2b17e7ff-666b-428f-af21-b219531a0d14,50bd8f13-fc2d-4b1f-88c7-782f9100426c,"{""participantId"":""85C92CDBAC71452684E2566DAB6C7342"",""assignmentId"":""2b17e7ff-666b-428f-af21-b219531a0d14"",""projectId"":""50bd8f13-fc2d-4b1f-88c7-782f9100426c""}",https://test12345.live/try_test.html?participantId=85C92CDBAC71452684E2566DAB6C7342&assignmentId=2b17e7ff-666b-428f-af21-b219531a0d14&projectId=50bd8f13-fc2d-4b1f-88c7-782f9100426c,85C92CDBAC71452684E2566DAB6C7342,null,NA,NA,[],null
NA,NA,NA,NA,NA,image-button-response,7,41986,0.0-4.0-0.1,85C92CDBAC71452684E2566DAB6C7342,2b17e7ff-666b-428f-af21-b219531a0d14,50bd8f13-fc2d-4b1f-88c7-782f9100426c,"{""participantId"":""85C92CDBAC71452684E2566DAB6C7342"",""assignmentId"":""2b17e7ff-666b-428f-af21-b219531a0d14"",""projectId"":""50bd8f13-fc2d-4b1f-88c7-782f9100426c""}",https://test12345.live/try_test.html?participantId=85C92CDBAC71452684E2566DAB6C7342&assignmentId=2b17e7ff-666b-428f-af21-b219531a0d14&projectId=50bd8f13-fc2d-4b1f-88c7-782f9100426c,85C92CDBAC71452684E2566DAB6C7342,null,NA,NA,images/instructions/movie_2.png,null
NA,NA,NA,NA,NA,image-button-response,8,43388,0.0-4.0-1.1,85C92CDBAC71452684E2566DAB6C7342,2b17e7ff-666b-428f-af21-b219531a0d14,50bd8f13-fc2d-4b1f-88c7-782f9100426c,"{""participantId"":""85C92CDBAC71452684E2566DAB6C7342"",""assignmentId"":""2b17e7ff-666b-428f-af21-b219531a0d14"",""projectId"":""50bd8f13-fc2d-4b1f-88c7-782f9100426c""}",https://test12345.live/try_test.html?participantId=85C92CDBAC71452684E2566DAB6C7342&assignmentId=2b17e7ff-666b-428f-af21-b219531a0d14&projectId=50bd8f13-fc2d-4b1f-88c7-782f9100426c,85C92CDBAC71452684E2566DAB6C7342,1399,NA,NA,images/instructions/movie_2.png,0
NA,NA,NA,NA,NA,image-button-response,9,45189,0.0-4.0-2.1,85C92CDBAC71452684E2566DAB6C7342,2b17e7ff-666b-428f-af21-b219531a0d14,50bd8f13-fc2d-4b1f-88c7-782f9100426c,"{""participantId"":""85C92CDBAC71452684E2566DAB6C7342"",""assignmentId"":""2b17e7ff-666b-428f-af21-b219531a0d14"",""projectId"":""50bd8f13-fc2d-4b1f-88c7-782f9100426c""}",https://test12345.live/try_test.html?participantId=85C92CDBAC71452684E2566DAB6C7342&assignmentId=2b17e7ff-666b-428f-af21-b219531a0d14&projectId=50bd8f13-fc2d-4b1f-88c7-782f9100426c,85C92CDBAC71452684E2566DAB6C7342,null,NA,NA,[],null
NA,NA,NA,NA,NA,image-button-response,10,49713,0.0-4.0-0.2,85C92CDBAC71452684E2566DAB6C7342,2b17e7ff-666b-428f-af21-b219531a0d14,50bd8f13-fc2d-4b1f-88c7-782f9100426c,"{""participantId"":""85C92CDBAC71452684E2566DAB6C7342"",""assignmentId"":""2b17e7ff-666b-428f-af21-b219531a0d14"",""projectId"":""50bd8f13-fc2d-4b1f-88c7-782f9100426c""}",https://test12345.live/try_test.html?participantId=85C92CDBAC71452684E2566DAB6C7342&assignmentId=2b17e7ff-666b-428f-af21-b219531a0d14&projectId=50bd8f13-fc2d-4b1f-88c7-782f9100426c,85C92CDBAC71452684E2566DAB6C7342,null,NA,NA,images/instructions/movie_3.png,null
