"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","urlvar","subject","rt","device_id","view_history","stimulus","response"
"true","false","[]","[]","[]","preload","0","319","0.0-0.0","","","","{"""":""""}","","","","","",""
"true","","","","","fullscreen","1","4012","0.0-1.0","","","","{"""":""""}","","2680","","","",""
"","","","","","initialize-microphone","2","18905","0.0-2.0","","","","{"""":""""}","","","88f48e2459901d956382123679e5b6fb0db393d2bbc5c58ee1b69679b1dd38d6","","",""
"","","","","","instructions","3","26770","0.0-3.0","","","","{"""":""""}","","7864","","[{""page_index"":0,""viewing_time"":2154},{""page_index"":1,""viewing_time"":5710}]","",""
"","","","","","image-button-response","4","31272","0.0-4.0-0.0","","","","{"""":""""}","","null","","","images/instructions/movie_1.png","null"
"","","","","","image-button-response","5","33974","0.0-4.0-1.0","","","","{"""":""""}","","null","","","images/instructions/movie_1.png","null"
"","","","","","image-button-response","6","35775","0.0-4.0-2.0","","","","{"""":""""}","","null","","","[]","null"
"","","","","","image-button-response","7","40276","0.0-4.0-0.1","","","","{"""":""""}","","null","","","images/instructions/movie_2.png","null"
"","","","","","image-button-response","8","41685","0.0-4.0-1.1","","","","{"""":""""}","","1408","","","images/instructions/movie_2.png","0"
"","","","","","image-button-response","9","43487","0.0-4.0-2.1","","","","{"""":""""}","","null","","","[]","null"
"","","","","","image-button-response","10","47988","0.0-4.0-0.2","","","","{"""":""""}","","null","","","images/instructions/movie_3.png","null"
"","","","","","image-button-response","11","48930","0.0-4.0-1.2","","","","{"""":""""}","","941","","","images/instructions/movie_3.png","0"
"","","","","","image-button-response","12","50731","0.0-4.0-2.2","","","","{"""":""""}","","null","","","[]","null"
"","","","","","image-button-response","13","55232","0.0-4.0-0.3","","","","{"""":""""}","","null","","","images/instructions/movie_4.png","null"
"","","","","","image-button-response","14","56327","0.0-4.0-1.3","","","","{"""":""""}","","1094","","","images/instructions/movie_4.png","0"
"","","","","","image-button-response","15","58128","0.0-4.0-2.3","","","","{"""":""""}","","null","","","[]","null"
"","","","","","survey-text","16","65835","0.0-5.0","","","","{"""":""""}","","7706","","","","{""Q0"":""MALE"",""Q1"":""29""}"
"","","","","","instructions","17","69813","0.0-6.0","","","","{"""":""""}","","3978","","[{""page_index"":0,""viewing_time"":3977}]","",""
"","","","","","survey-text","18","73432","0.0-7.0","","","","{"""":""""}","","3618","","","","{""Q0"":""AJFHBG892""}"
