"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","device_id","view_history","stimulus","response"
"true","false","[]","[]","[]","preload","0","30","0.0-0.0","{"""":""""}","","","","",""
"true","","","","","fullscreen","1","2356","0.0-1.0","{"""":""""}","1322","","","",""
"","","","","","initialize-microphone","2","3290","0.0-2.0","{"""":""""}","","865cfdf1d7b7f3e3b8fc7c474a69f8ffd82e67fb5ba3adf7e69bc55de6016f9d","","",""
"","","","","","instructions","3","4737","0.0-3.0","{"""":""""}","1447","","[{""page_index"":0,""viewing_time"":702},{""page_index"":1,""viewing_time"":744}]","",""
"","","","","","image-button-response","4","9247","0.0-4.0-0.0","{"""":""""}","null","","","images/instructions/movie_1.png","null"
"","","","","","image-button-response","5","10162","0.0-4.0-1.0","{"""":""""}","913","","","images/instructions/movie_1.png","1"
"","","","","","image-button-response","6","11975","0.0-4.0-2.0","{"""":""""}","null","","","[]","null"
"","","","","","image-button-response","7","16476","0.0-4.0-0.1","{"""":""""}","null","","","images/instructions/movie_2.png","null"
"","","","","","image-button-response","8","17721","0.0-4.0-1.1","{"""":""""}","1244","","","images/instructions/movie_2.png","1"
"","","","","","image-button-response","9","19526","0.0-4.0-2.1","{"""":""""}","null","","","[]","null"
"","","","","","image-button-response","10","24028","0.0-4.0-0.2","{"""":""""}","null","","","images/instructions/movie_3.png","null"
"","","","","","image-button-response","11","25137","0.0-4.0-1.2","{"""":""""}","1109","","","images/instructions/movie_3.png","1"
"","","","","","image-button-response","12","26951","0.0-4.0-2.2","{"""":""""}","null","","","[]","null"
"","","","","","image-button-response","13","31458","0.0-4.0-0.3","{"""":""""}","null","","","images/instructions/movie_4.png","null"
"","","","","","image-button-response","14","32585","0.0-4.0-1.3","{"""":""""}","1125","","","images/instructions/movie_4.png","1"
"","","","","","image-button-response","15","34392","0.0-4.0-2.3","{"""":""""}","null","","","[]","null"
"","","","","","survey-text","16","39602","0.0-5.0","{"""":""""}","5205","","","","{""Q0"":""22"",""Q1"":""22""}"
"","","","","","instructions","17","40345","0.0-6.0","{"""":""""}","743","","[{""page_index"":0,""viewing_time"":743}]","",""
"","","","","","survey-text","18","41018","0.0-7.0","{"""":""""}","671","","","","{""Q0"":""""}"
