"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","urlvar","current_url","subject","success","timeout","failed_images","failed_audio","failed_video","device_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":2911}]","2911","instructions","0","2912","0.0-0.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1807}]","1807","instructions","1","4720","0.0-1.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","",""
"","","preload","2","4741","0.0-2.0","","","","{"""":""""}","https://test12345.live/","","true","false","[]","[]","[]","","",""
"","979","fullscreen","3","6730","0.0-3.0","","","","{"""":""""}","https://test12345.live/","","true","","","","","","",""
"","","initialize-microphone","4","7601","0.0-4.0","","","","{"""":""""}","https://test12345.live/","","","","","","","856d2183f901ffa0a37cd1ef0f8c00506f59ff8309ba337ad8a46e45789cb87e","",""
"[{""page_index"":0,""viewing_time"":614},{""page_index"":1,""viewing_time"":736}]","1350","instructions","5","8952","0.0-5.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","",""
"","null","image-button-response","6","13471","0.0-6.0-0.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_1.png","null"
"","866","image-button-response","7","14344","0.0-6.0-1.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_1.png","1"
"","null","image-button-response","8","16150","0.0-6.0-2.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","[]","null"
"","null","image-button-response","9","20674","0.0-6.0-0.1","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_2.png","null"
"","1268","image-button-response","10","21944","0.0-6.0-1.1","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_2.png","1"
"","null","image-button-response","11","23758","0.0-6.0-2.1","","","","{"""":""""}","https://test12345.live/","","","","","","","","[]","null"
"","null","image-button-response","12","28265","0.0-6.0-0.2","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_3.png","null"
"","1013","image-button-response","13","29280","0.0-6.0-1.2","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_3.png","1"
"","null","image-button-response","14","31088","0.0-6.0-2.2","","","","{"""":""""}","https://test12345.live/","","","","","","","","[]","null"
"","null","image-button-response","15","35592","0.0-6.0-0.3","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_4.png","null"
"","886","image-button-response","16","36480","0.0-6.0-1.3","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_4.png","1"
"","null","image-button-response","17","38287","0.0-6.0-2.3","","","","{"""":""""}","https://test12345.live/","","","","","","","","[]","null"
"","1402","survey-text","18","39697","0.0-7.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","","{""Q0"":"""",""Q1"":"""",""Q2"":""""}"
"[{""page_index"":0,""viewing_time"":944}]","944","instructions","19","40641","0.0-8.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","",""
"","1135","survey-text","20","41777","0.0-9.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","","{""Q0"":""""}"
