"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","subject","rt","device_id","view_history","stimulus","response"
"true","false","[]","[]","[]","preload","0","962","0.0-0.0","","","","","","","","",""
"true","","","","","fullscreen","1","4378","0.0-1.0","","","","","2400","","","",""
"","","","","","initialize-microphone","2","10532","0.0-2.0","","","","","","0a932ca0fdc2960ea949057bd768696009ccd233e318689ecca0b9bea41677cd","","",""
"","","","","","instructions","3","13987","0.0-3.0","","","","","3454","","[{""page_index"":0,""viewing_time"":1251},{""page_index"":1,""viewing_time"":2203}]","",""
"","","","","","image-button-response","4","18503","0.0-4.0-0.0","","","","","null","","","images/instructions/movie_1.png","null"
"","","","","","image-button-response","5","20463","0.0-4.0-1.0","","","","","1959","","","images/instructions/movie_1.png","1"
"","","","","","image-button-response","6","22276","0.0-4.0-2.0","","","","","null","","","[]","null"
"","","","","","image-button-response","7","26788","0.0-4.0-0.1","","","","","null","","","images/instructions/movie_2.png","null"
"","","","","","image-button-response","8","27992","0.0-4.0-1.1","","","","","1203","","","images/instructions/movie_2.png","0"
"","","","","","image-button-response","9","29800","0.0-4.0-2.1","","","","","null","","","[]","null"
"","","","","","image-button-response","10","34311","0.0-4.0-0.2","","","","","null","","","images/instructions/movie_3.png","null"
"","","","","","image-button-response","11","35377","0.0-4.0-1.2","","","","","1064","","","images/instructions/movie_3.png","0"
"","","","","","image-button-response","12","37187","0.0-4.0-2.2","","","","","null","","","[]","null"
"","","","","","image-button-response","13","41692","0.0-4.0-0.3","","","","","null","","","images/instructions/movie_4.png","null"
"","","","","","image-button-response","14","42890","0.0-4.0-1.3","","","","","1196","","","images/instructions/movie_4.png","0"
"","","","","","image-button-response","15","44701","0.0-4.0-2.3","","","","","null","","","[]","null"
"","","","","","survey-text","16","50608","0.0-5.0","","","","","5901","","","","{""Q0"":""FEMALE"",""Q1"":""35""}"
"","","","","","instructions","17","56503","0.0-6.0","","","","","5895","","[{""page_index"":0,""viewing_time"":5895}]","",""
"","","","","","survey-text","18","58747","0.0-7.0","","","","","2242","","","","{""Q0"":""AJFHBG892""}"
