success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,urlvar,current_url,subject,rt,device_id,view_history,stimulus,response
TRUE,FALSE,[],[],[],preload,0,285,0.0-0.0,,,,"{"""":""""}",https://test12345.live/try_test.html,,,,,,
TRUE,,,,,fullscreen,1,4160,0.0-1.0,,,,"{"""":""""}",https://test12345.live/try_test.html,,2856,,,,
,,,,,initialize-microphone,2,42211,0.0-2.0,,,,"{"""":""""}",https://test12345.live/try_test.html,,,9e26e434f7123f053590c5bfd9ef8c3e2e559cbfd9b0a86e93b48f427b9a9935,,,
,,,,,instructions,3,51254,0.0-3.0,,,,"{"""":""""}",https://test12345.live/try_test.html,,9042,,"[{""page_index"":0,""viewing_time"":4645},{""page_index"":1,""viewing_time"":4396}]",,
,,,,,image-button-response,4,55761,0.0-4.0-0.0,,,,"{"""":""""}",https://test12345.live/try_test.html,,null,,,images/instructions/movie_1.png,null
,,,,,image-button-response,5,58472,0.0-4.0-1.0,,,,"{"""":""""}",https://test12345.live/try_test.html,,null,,,images/instructions/movie_1.png,null
,,,,,image-button-response,6,60276,0.0-4.0-2.0,,,,"{"""":""""}",https://test12345.live/try_test.html,,null,,,[],null
,,,,,image-button-response,7,64788,0.0-4.0-0.1,,,,"{"""":""""}",https://test12345.live/try_test.html,,null,,,images/instructions/movie_2.png,null
,,,,,image-button-response,8,66871,0.0-4.0-1.1,,,,"{"""":""""}",https://test12345.live/try_test.html,,2081,,,images/instructions/movie_2.png,0
,,,,,image-button-response,9,68675,0.0-4.0-2.1,,,,"{"""":""""}",https://test12345.live/try_test.html,,null,,,[],null
,,,,,image-button-response,10,73178,0.0-4.0-0.2,,,,"{"""":""""}",https://test12345.live/try_test.html,,null,,,images/instructions/movie_3.png,null
,,,,,image-button-response,11,75224,0.0-4.0-1.2,,,,"{"""":""""}",https://test12345.live/try_test.html,,2045,,,images/instructions/movie_3.png,0
,,,,,image-button-response,12,77030,0.0-4.0-2.2,,,,"{"""":""""}",https://test12345.live/try_test.html,,null,,,[],null
,,,,,image-button-response,13,81532,0.0-4.0-0.3,,,,"{"""":""""}",https://test12345.live/try_test.html,,null,,,images/instructions/movie_4.png,null
,,,,,image-button-response,14,83378,0.0-4.0-1.3,,,,"{"""":""""}",https://test12345.live/try_test.html,,1844,,,images/instructions/movie_4.png,0
,,,,,image-button-response,15,85182,0.0-4.0-2.3,,,,"{"""":""""}",https://test12345.live/try_test.html,,null,,,[],null
,,,,,survey-text,16,122921,0.0-5.0,,,,"{"""":""""}",https://test12345.live/try_test.html,,37728,,,,"{""Q0"":""female"",""Q1"":""40"",""Q2"":""2FE6FC01344148BF8C739219EF467904""}"
,,,,,instructions,17,128710,0.0-6.0,,,,"{"""":""""}",https://test12345.live/try_test.html,,5788,,"[{""page_index"":0,""viewing_time"":5787}]",,
,,,,,survey-text,18,142969,0.0-7.0,,,,"{"""":""""}",https://test12345.live/try_test.html,,14255,,,,"{""Q0"":""""}"
