"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","urlvar","current_url","subject","success","timeout","failed_images","failed_audio","failed_video","device_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":4332}]","4332","instructions","0","4334","0.0-0.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1828}]","1828","instructions","1","6163","0.0-1.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","",""
"","","preload","2","6187","0.0-2.0","","","","{"""":""""}","https://test12345.live/","","true","false","[]","[]","[]","","",""
"","1126","fullscreen","3","8320","0.0-3.0","","","","{"""":""""}","https://test12345.live/","","true","","","","","","",""
"","","initialize-microphone","4","9579","0.0-4.0","","","","{"""":""""}","https://test12345.live/","","","","","","","856d2183f901ffa0a37cd1ef0f8c00506f59ff8309ba337ad8a46e45789cb87e","",""
"[{""page_index"":0,""viewing_time"":647},{""page_index"":1,""viewing_time"":944}]","1591","instructions","5","11170","0.0-5.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","",""
"","null","image-button-response","6","15674","0.0-6.0-0.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_1.png","null"
"","2517","image-button-response","7","18195","0.0-6.0-1.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_1.png","1"
"","null","image-button-response","8","20007","0.0-6.0-2.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","[]","null"
"","null","image-button-response","9","24514","0.0-6.0-0.1","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_2.png","null"
"","1088","image-button-response","10","25603","0.0-6.0-1.1","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_2.png","1"
"","null","image-button-response","11","27416","0.0-6.0-2.1","","","","{"""":""""}","https://test12345.live/","","","","","","","","[]","null"
"","null","image-button-response","12","31918","0.0-6.0-0.2","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_3.png","null"
"","null","image-button-response","13","34631","0.0-6.0-1.2","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_3.png","null"
"","null","image-button-response","14","36444","0.0-6.0-2.2","","","","{"""":""""}","https://test12345.live/","","","","","","","","[]","null"
"","null","image-button-response","15","40947","0.0-6.0-0.3","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_4.png","null"
"","950","image-button-response","16","41899","0.0-6.0-1.3","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_4.png","1"
"","null","image-button-response","17","43701","0.0-6.0-2.3","","","","{"""":""""}","https://test12345.live/","","","","","","","","[]","null"
"","1299","survey-text","18","45003","0.0-7.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","","{""Q0"":"""",""Q1"":"""",""Q2"":""""}"
"[{""page_index"":0,""viewing_time"":1423}]","1423","instructions","19","46426","0.0-8.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","",""
"","759","survey-text","20","47187","0.0-9.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","","{""Q0"":""""}"
